gender	age	Average_age	Types
M	18	39.42	['Drama', 'War', 'Action', 'Crime', 'Adventure']
M	25	26.68	['Drama', 'Action', 'Comedy', 'Thriller', 'Crime']
M	25	42.24	['Drama', 'Comedy', 'Romance', 'Action', 'War']
F	18	42.78	['Drama', 'Documentary', 'Comedy', 'Thriller', 'Crime']
M	45	33.68	['Drama', 'Action', 'Thriller', 'Animation', 'Comedy']
M	25	48.68	['Horror', 'Sci-Fi', 'Drama', 'Comedy', 'Romance']
M	1	44.0	['Drama', 'Comedy', 'Documentary', 'War', 'Romance']
M	25	41.34	['Drama', 'Action', 'War', 'Comedy', 'Adventure']
F	25	29.24	['Drama', 'Comedy', 'Romance', 'Animation', 'Documentary']
M	18	47.62	['Drama', 'Documentary', 'Crime', 'Comedy', 'Action']
M	35	39.64	['Drama', 'Comedy', 'War', 'Adventure', 'Action']
F	1	33.44	['Action', 'Drama', 'Comedy', 'Thriller', 'Sci-Fi']
F	35	38.76	['Drama', 'Action', 'War', 'Thriller', 'Adventure']
M	35	43.66	['Drama', 'Comedy', 'Action', 'Adventure', 'War']
M	56	38.44	['Drama', 'Comedy', 'Action', 'War', 'Thriller']
M	25	38.56	['Drama', 'Comedy', 'War', 'Thriller', 'Crime']
F	18	33.22	['Comedy', 'Drama', 'Romance', 'Musical', 'Thriller']
M	45	45.38	['Drama', 'Comedy', 'Action', 'Adventure', 'War']
M	25	27.1	['Action', 'Sci-Fi', 'Drama', 'Thriller', 'Adventure']
F	35	51.6	['Drama', 'Comedy', 'War', 'Animation', 'Action']
F	25	47.38	['Drama', 'Comedy', 'Romance', 'War', 'Adventure']
F	25	35.14	['Drama', 'Action', 'War', 'Thriller', 'Adventure']
M	56	46.16	['Drama', 'Comedy', 'War', 'Thriller', 'Romance']
F	25	23.66	['Drama', 'Comedy', 'Romance', "Children's", 'Musical']
F	18	40.32	['Drama', 'Film-Noir', 'Crime', 'Thriller', 'Documentary']
F	25	39.82	['Drama', 'Comedy', 'Crime', 'Action', 'Thriller']
F	25	29.84	['Drama', 'Comedy', 'Romance', 'Animation', 'Documentary']
M	45	41.26	['Drama', 'War', 'Action', 'Thriller', 'Crime']
M	56	48.18	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Adventure']
M	50	45.18	['Drama', 'War', 'Film-Noir', 'Crime', 'Adventure']
M	56	33.9	['Drama', 'Crime', 'Thriller', 'Action', 'War']
M	25	48.04	['Drama', 'Comedy', 'War', 'Romance', 'Animation']
M	25	45.86	['Drama', 'War', 'Comedy', 'Film-Noir', 'Documentary']
M	25	28.34	['Comedy', 'Drama', 'Action', 'Thriller', 'Crime']
M	50	43.42	['Drama', 'Comedy', 'War', 'Thriller', 'Romance']
M	1	24.98	['Drama', 'Thriller', 'Action', 'Comedy', 'Documentary']
M	18	20.42	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Crime']
M	50	51.24	['Drama', 'Comedy', 'War', 'Film-Noir', 'Thriller']
M	18	34.02	['Drama', 'Comedy', 'Documentary', 'Crime', 'Thriller']
M	45	34.2	['Drama', 'Comedy', 'War', 'Adventure', 'Animation']
M	18	41.42	['Drama', 'Comedy', 'Action', 'Adventure', 'War']
F	25	25.12	['Comedy', 'Drama', 'Documentary', 'Thriller', 'Crime']
M	50	34.28	['Comedy', 'Drama', 'Action', 'Sci-Fi', 'Adventure']
M	1	29.72	['Drama', 'Comedy', 'Action', 'Thriller', 'Adventure']
M	35	42.46	['Drama', 'Comedy', 'War', 'Animation', 'Crime']
M	18	25.72	['Comedy', 'Drama', 'Romance', 'Documentary', 'Animation']
F	35	31.12	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Animation']
F	25	44.48	['Drama', 'Thriller', 'Comedy', 'Crime', 'Film-Noir']
M	1	19.86	['Drama', 'Comedy', 'Romance', 'Action', 'Documentary']
F	18	29.04	['Drama', 'Comedy', 'Documentary', 'Animation', 'Romance']
M	25	30.92	['Drama', 'Comedy', 'Documentary', 'Mystery', 'Thriller']
F	18	47.38	['Drama', 'Comedy', 'Thriller', 'Crime', 'Romance']
F	18	30.4	['Drama', 'Comedy', 'Romance', 'Action', 'Thriller']
F	18	35.46	['Drama', 'Comedy', 'Action', 'Thriller', 'War']
M	25	53.32	['Drama', 'Film-Noir', 'Thriller', 'Comedy', 'War']
M	45	28.84	['Drama', 'Comedy', 'Action', 'Adventure', 'Romance']
M	25	39.78	['Drama', 'Comedy', 'Documentary', 'Romance', 'Sci-Fi']
F	35	35.06	['Drama', 'War', 'Action', 'Comedy', 'Thriller']
F	35	53.0	['Drama', 'Comedy', 'Thriller', 'Mystery', 'Romance']
M	50	41.2	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Animation']
M	45	32.42	['Drama', 'War', 'Action', 'Thriller', 'Comedy']
F	35	49.78	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'War']
F	45	33.5	['Drama', 'Comedy', 'Documentary', 'Animation', 'War']
M	56	56.82	['Drama', 'Comedy', 'Romance', 'War', 'Thriller']
M	25	38.4	['Drama', 'Comedy', 'Romance', 'Thriller', 'Animation']
M	35	45.3	['Drama', 'Comedy', 'Documentary', 'War', 'Mystery']
M	18	45.82	['Drama', 'Comedy', 'War', 'Action', 'Thriller']
M	45	51.8	['Drama', 'Comedy', 'Romance', 'Documentary', 'War']
M	25	31.86	['Drama', 'Documentary', 'Comedy', 'Crime', 'Romance']
M	35	49.82	['Drama', 'War', 'Thriller', 'Film-Noir', 'Crime']
M	25	47.7	['Drama', 'Comedy', 'Film-Noir', 'War', 'Thriller']
M	18	21.94	['Comedy', 'Drama', 'Action', 'Thriller', 'Romance']
M	18	27.78	['Drama', 'Action', 'Comedy', 'War', 'Thriller']
F	35	51.6	['Drama', 'Action', 'Adventure', 'Comedy', 'Romance']
M	25	43.28	['Drama', 'Comedy', 'Documentary', 'Film-Noir', 'Animation']
F	45	32.76	['Drama', 'Comedy', 'Romance', 'Musical', 'Adventure']
F	45	39.24	['Drama', 'Comedy', 'Action', 'Animation', 'War']
M	50	36.74	['Drama', 'Comedy', 'War', 'Thriller', 'Romance']
M	25	36.46	['Drama', 'Comedy', 'Action', 'Documentary', 'Thriller']
F	25	39.32	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Film-Noir']
M	56	32.66	['Drama', 'Comedy', 'Thriller', 'Documentary', 'Crime']
M	50	40.3	['Drama', 'Comedy', 'War', 'Film-Noir', 'Animation']
M	50	42.36	['Drama', 'Comedy', 'War', 'Thriller', 'Action']
M	50	25.86	['Drama', 'Comedy', 'Romance', 'Documentary', 'Crime']
M	45	34.74	['Drama', 'Comedy', 'Animation', 'War', 'Film-Noir']
M	25	42.22	['Drama', 'Comedy', 'Action', 'Adventure', 'War']
F	18	52.12	['Drama', 'Comedy', 'Romance', 'Musical', 'Documentary']
F	18	35.86	['Drama', 'Comedy', 'Thriller', 'Animation', 'Action']
M	45	40.64	['Drama', 'Comedy', 'Thriller', 'Animation', 'Documentary']
F	25	27.2	['Drama', 'Documentary', 'Comedy', 'Animation', 'Romance']
F	1	49.12	['Drama', 'Comedy', 'Action', 'Documentary', 'Romance']
M	35	29.2	['Drama', 'Comedy', 'Romance', 'Musical', 'Documentary']
M	25	45.1	['Drama', 'War', 'Crime', 'Thriller', 'Adventure']
F	35	56.22	['Comedy', 'Drama', 'Romance', 'Film-Noir', 'Action']
F	1	39.4	['Drama', 'Comedy', 'Romance', 'War', 'Adventure']
M	35	35.62	['Drama', 'Comedy', 'Romance', 'War', 'Action']
M	50	41.32	['Drama', 'Comedy', 'Thriller', 'War', 'Film-Noir']
M	18	29.4	['Drama', 'Action', 'Comedy', 'Crime', 'Thriller']
F	25	43.92	['Drama', 'Comedy', 'Documentary', 'Crime', 'Animation']
M	25	38.86	['Drama', 'Comedy', 'War', 'Thriller', 'Adventure']
M	45	32.64	['Drama', 'Thriller', 'Action', 'Comedy', 'Documentary']
M	25	48.62	['Drama', 'Comedy', 'War', 'Thriller', 'Crime']
F	25	32.96	['Drama', 'Comedy', 'Romance', 'Musical', "Children's"]
M	25	28.36	['Comedy', 'Drama', 'Action', 'Adventure', 'Documentary']
F	35	38.86	['Drama', 'Adventure', 'Action', 'Comedy', 'War']
M	18	31.56	['Drama', 'Comedy', 'Romance', 'Thriller', 'Adventure']
M	25	48.56	['Drama', 'War', 'Film-Noir', 'Comedy', 'Thriller']
F	18	24.78	['Drama', 'Comedy', 'Documentary', 'Animation', 'Crime']
M	25	42.5	['Drama', 'Thriller', 'Comedy', 'Crime', 'War']
M	25	28.4	['Drama', 'Action', 'Comedy', 'War', 'Adventure']
M	25	31.2	['Drama', 'Comedy', 'Action', 'Thriller', 'Documentary']
M	25	31.8	['Drama', 'Comedy', 'Action', 'War', 'Romance']
M	25	33.38	['Drama', 'Action', 'Thriller', 'Crime', 'War']
M	25	33.76	['Drama', 'War', 'Action', 'Comedy', 'Western']
M	56	43.94	['Drama', 'Action', 'War', 'Adventure', 'Thriller']
F	56	30.8	['Drama', 'Action', 'Romance', 'Comedy', 'War']
F	18	25.84	['Drama', 'Action', 'Thriller', 'Sci-Fi', 'Comedy']
M	25	28.74	['Drama', 'Crime', 'Action', 'War', 'Thriller']
M	56	41.68	['Drama', 'Comedy', 'Romance', 'War', 'Thriller']
M	50	29.18	['Drama', 'Crime', 'Action', 'War', 'Thriller']
F	18	28.46	['Drama', 'Action', 'War', 'Thriller', 'Comedy']
F	25	46.6	['Drama', 'Comedy', 'Documentary', 'Thriller', 'War']
M	25	32.36	['Drama', 'War', 'Thriller', 'Crime', 'Action']
M	25	41.02	['Drama', 'Comedy', 'Documentary', 'Animation', 'Thriller']
M	25	45.8	['Drama', 'War', 'Thriller', 'Comedy', 'Action']
F	50	43.3	['Drama', 'Comedy', 'Adventure', 'Thriller', 'Animation']
M	25	49.5	['Drama', 'Comedy', 'Documentary', 'Romance', 'Film-Noir']
M	45	41.68	['Drama', 'War', 'Comedy', 'Thriller', 'Action']
M	45	42.38	['Drama', 'Comedy', 'War', 'Thriller', 'Documentary']
M	25	39.2	['Drama', 'Crime', 'Thriller', 'Documentary', 'War']
M	25	35.18	['Drama', 'War', 'Thriller', 'Comedy', 'Crime']
M	35	46.26	['Comedy', 'Drama', 'Thriller', 'Film-Noir', 'Romance']
F	25	48.66	['Drama', 'Comedy', 'Romance', 'Thriller', 'Adventure']
M	35	25.66	['Drama', 'Comedy', 'Romance', "Children's", 'Crime']
F	45	38.88	['Drama', 'Comedy', 'Romance', 'Thriller', 'War']
M	25	48.9	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Documentary']
M	18	25.74	['Drama', 'Action', 'Comedy', 'Thriller', 'Documentary']
M	18	30.32	['Drama', 'Action', 'Comedy', 'War', 'Thriller']
M	25	40.64	['Drama', 'Comedy', 'War', 'Adventure', 'Action']
M	35	46.46	['Drama', 'Comedy', 'Crime', 'Romance', 'Action']
M	25	42.0	['Drama', 'Action', 'Comedy', 'War', 'Crime']
M	35	32.42	['Drama', 'Documentary', 'Comedy', 'Crime', 'Romance']
M	18	40.74	['Drama', 'Comedy', 'Thriller', 'Romance', 'Adventure']
F	50	54.68	['Drama', 'Film-Noir', 'Comedy', 'Thriller', 'War']
M	45	39.52	['Drama', 'Comedy', 'War', 'Action', 'Thriller']
F	18	32.08	['Drama', 'Comedy', 'Thriller', 'Adventure', 'Action']
M	18	27.36	['Drama', 'Documentary', 'Comedy', 'Romance', 'Thriller']
M	18	45.14	['Drama', 'War', 'Comedy', 'Adventure', 'Action']
M	35	33.26	['Drama', 'Comedy', 'Romance', 'Documentary', 'War']
M	35	48.52	['Drama', 'Comedy', 'Documentary', 'Film-Noir', 'Animation']
M	1	39.88	['Drama', 'War', 'Comedy', 'Action', 'Adventure']
F	18	40.74	['Drama', 'Comedy', 'Action', 'Thriller', 'Romance']
F	18	25.2	['Drama', 'Comedy', 'Action', 'Adventure', 'Sci-Fi']
F	25	40.6	['Drama', 'Comedy', 'Romance', 'War', 'Western']
F	35	40.74	['Drama', 'Comedy', 'War', 'Documentary', 'Romance']
F	25	35.5	['Drama', 'Action', 'Comedy', 'War', 'Romance']
F	35	35.98	['Drama', 'Comedy', 'Thriller', 'Crime', 'Romance']
M	45	46.88	['Drama', 'Thriller', 'Comedy', 'War', 'Adventure']
M	25	29.88	['Drama', 'Action', 'War', 'Romance', 'Adventure']
M	25	30.1	['Drama', 'Comedy', 'Animation', 'Action', 'Documentary']
M	35	52.38	['Drama', 'Comedy', 'Film-Noir', 'Thriller', 'Romance']
F	45	34.3	['Drama', 'Crime', 'Documentary', 'Comedy', 'Thriller']
M	25	32.88	['Drama', 'Comedy', 'Action', 'Adventure', 'War']
M	25	41.92	['Drama', 'Thriller', 'War', 'Film-Noir', 'Comedy']
M	25	37.8	['Drama', 'Comedy', 'Action', 'Sci-Fi', 'Film-Noir']
F	25	50.3	['Drama', 'War', 'Comedy', 'Action', 'Romance']
M	35	32.28	['Drama', 'Action', 'War', 'Adventure', 'Thriller']
M	56	44.2	['Drama', 'Action', 'War', 'Adventure', 'Thriller']
M	45	49.54	['Drama', 'Thriller', 'War', 'Comedy', 'Film-Noir']
M	18	32.34	['Drama', 'Comedy', 'Action', 'Crime', 'Adventure']
M	35	41.02	['Drama', 'Comedy', 'Crime', 'War', 'Adventure']
M	35	30.82	['Drama', 'Comedy', 'Animation', 'Action', 'Documentary']
M	25	36.8	['Drama', 'War', 'Comedy', 'Action', 'Crime']
M	18	46.12	['Drama', 'Comedy', 'Film-Noir', 'Documentary', 'Thriller']
M	25	46.98	['Drama', 'Comedy', 'Documentary', 'Animation', 'Adventure']
F	50	44.34	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Crime']
M	25	38.06	['Drama', 'Comedy', 'War', 'Adventure', 'Action']
F	25	32.4	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Romance']
F	50	43.44	['Drama', 'Comedy', "Children's", 'Documentary', 'Animation']
M	25	55.38	['Drama', 'Comedy', 'Adventure', 'Thriller', 'Romance']
M	25	43.22	['Drama', 'Thriller', 'Film-Noir', 'Comedy', 'Documentary']
M	25	34.9	['Drama', 'Comedy', 'War', 'Crime', 'Thriller']
M	25	31.5	['Drama', 'Action', 'War', 'Comedy', 'Romance']
F	45	39.32	['Drama', 'Comedy', 'Thriller', 'Romance', 'Adventure']
M	56	52.6	['Drama', 'War', 'Action', 'Thriller', 'Film-Noir']
M	45	28.62	['Drama', 'Comedy', 'Romance', 'Adventure', 'Documentary']
F	45	29.48	['Drama', 'Action', 'Comedy', 'Thriller', 'Sci-Fi']
F	35	21.52	['Drama', 'Romance', 'Comedy', "Children's", 'Thriller']
M	25	48.9	['Drama', 'Comedy', 'Thriller', 'War', 'Crime']
M	25	27.22	['Drama', 'Action', 'Comedy', 'Thriller', 'Crime']
F	45	42.7	['Drama', 'Documentary', 'Comedy', 'Horror', 'Crime']
M	56	52.62	['Drama', 'War', 'Thriller', 'Adventure', 'Film-Noir']
F	25	37.06	['Drama', 'Comedy', 'War', 'Action', 'Animation']
M	25	24.86	['Drama', 'Action', 'Thriller', 'Romance', 'War']
M	25	40.18	['Drama', 'War', 'Crime', 'Comedy', 'Thriller']
F	35	42.06	['Drama', 'Comedy', 'Action', 'Romance', 'War']
M	56	51.22	['Drama', 'Comedy', 'War', 'Thriller', 'Romance']
M	35	46.38	['Drama', 'Comedy', 'Animation', 'War', 'Thriller']
M	1	23.32	['Comedy', 'Action', 'Drama', 'Thriller', 'Sci-Fi']
M	18	31.48	['Drama', 'Comedy', 'Action', 'Adventure', 'Romance']
F	25	34.28	['Drama', 'Comedy', 'War', 'Animation', 'Action']
M	35	41.86	['Drama', 'Comedy', 'Film-Noir', 'Action', 'War']
M	45	40.92	['Drama', 'Comedy', 'War', 'Action', 'Thriller']
M	50	40.9	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Crime']
F	18	31.98	['Drama', 'Romance', 'Comedy', 'Documentary', 'Crime']
F	50	26.78	['Drama', 'Comedy', 'Romance', 'Thriller', 'War']
M	35	22.44	['Drama', 'Comedy', 'Documentary', 'Romance', 'Thriller']
M	25	35.94	['Drama', 'Comedy', 'Documentary', 'War', 'Action']
M	18	35.92	['Drama', 'Comedy', 'Crime', 'Action', 'Documentary']
F	35	26.26	['Drama', 'Romance', "Children's", 'Comedy', 'Musical']
M	25	43.32	['Drama', 'Comedy', 'War', 'Action', 'Thriller']
F	1	44.92	['Drama', 'Comedy', 'Animation', 'Action', 'Documentary']
M	45	34.18	['Drama', 'Action', 'War', 'Adventure', 'Comedy']
F	50	24.72	['Drama', 'Comedy', 'War', 'Romance', 'Action']
M	25	44.56	['Drama', 'Comedy', 'War', 'Thriller', 'Film-Noir']
F	25	48.1	['Drama', 'Comedy', 'War', 'Documentary', 'Romance']
M	18	44.54	['Drama', 'Thriller', 'Romance', 'Crime', 'Comedy']
M	18	36.66	['Drama', 'Comedy', 'Documentary', 'Crime', 'Thriller']
M	35	53.18	['Drama', 'Comedy', 'War', 'Action', 'Documentary']
F	25	30.44	['Drama', 'Romance', 'Action', 'Comedy', 'War']
F	18	35.18	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Animation']
M	18	22.52	['Drama', 'Comedy', 'Action', 'Crime', 'Thriller']
M	1	29.12	['Drama', 'Romance', 'Comedy', 'Documentary', 'Musical']
M	45	50.58	['Drama', 'Thriller', 'Crime', 'War', 'Film-Noir']
M	56	48.34	['Drama', 'War', 'Thriller', 'Comedy', 'Film-Noir']
M	35	32.66	['Drama', 'Comedy', 'War', 'Thriller', 'Crime']
M	25	29.38	['Drama', 'Comedy', 'Action', 'Adventure', 'War']
F	45	50.2	['Drama', 'Thriller', 'War', 'Film-Noir', 'Comedy']
M	25	28.08	['Drama', 'Action', 'Comedy', 'Adventure', 'War']
M	45	26.0	['Action', 'Drama', 'Adventure', 'War', 'Comedy']
M	45	44.68	['Drama', 'Comedy', 'Romance', 'Thriller', 'Film-Noir']
M	56	38.9	['Drama', 'Comedy', 'Thriller', 'War', 'Romance']
M	25	44.4	['Drama', 'Comedy', 'Adventure', 'War', 'Film-Noir']
M	35	51.14	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'War']
F	25	43.76	['Drama', 'Comedy', "Children's", 'Romance', 'Musical']
M	18	46.16	['Drama', 'Comedy', 'War', 'Adventure', 'Thriller']
M	50	47.0	['Drama', 'Comedy', 'War', 'Adventure', 'Thriller']
F	18	36.8	['Drama', 'Comedy', 'Romance', 'Thriller', 'Animation']
M	50	34.86	['Drama', 'Comedy', 'Romance', 'Thriller', 'War']
F	25	24.78	['Drama', 'Comedy', 'Action', 'Romance', 'Thriller']
M	35	27.42	['Drama', 'Crime', 'Thriller', 'Romance', 'Comedy']
M	25	48.72	['Drama', 'Thriller', 'Film-Noir', 'Crime', 'Action']
F	50	43.34	['Drama', 'War', 'Comedy', 'Thriller', 'Mystery']
F	45	33.02	['Drama', 'Comedy', 'Action', 'Adventure', 'Romance']
F	25	34.68	['Drama', 'Action', 'War', 'Thriller', 'Crime']
F	50	32.84	['Drama', 'Comedy', 'War', 'Action', 'Adventure']
F	25	30.86	['Drama', 'Comedy', 'Action', 'Animation', 'Adventure']
F	25	24.0	['Drama', 'War', 'Comedy', 'Thriller', 'Romance']
F	25	24.18	['Drama', 'Comedy', 'Thriller', 'Romance', 'Action']
F	56	26.76	['Drama', 'Comedy', 'Romance', 'Documentary', 'War']
F	25	22.96	['Drama', 'Romance', 'Comedy', "Children's", 'Thriller']
M	25	44.76	['Drama', 'Documentary', 'Comedy', 'Adventure', 'War']
M	25	30.28	['Drama', 'Comedy', 'War', 'Thriller', 'Mystery']
M	45	34.66	['Drama', 'Action', 'Comedy', 'Sci-Fi', 'Adventure']
M	18	27.36	['Drama', 'Comedy', 'War', 'Thriller', 'Action']
M	45	46.18	['Drama', 'Documentary', 'Comedy', 'Thriller', 'Romance']
M	18	31.68	['Drama', 'Comedy', 'Action', 'Animation', 'Thriller']
F	1	24.28	['Drama', 'Comedy', 'Romance', 'Documentary', 'Thriller']
M	25	48.72	['Drama', 'Comedy', 'Crime', 'Documentary', 'Romance']
M	1	34.92	['Drama', 'Action', 'Comedy', 'War', 'Adventure']
F	18	38.08	['Drama', 'Comedy', 'Animation', 'Documentary', 'Romance']
M	35	31.34	['Drama', 'Comedy', 'Documentary', 'Crime', 'Action']
F	35	34.42	['Drama', 'War', 'Comedy', 'Action', 'Thriller']
M	25	32.04	['Drama', 'Action', 'Comedy', 'Thriller', 'Crime']
M	35	35.94	['Drama', 'Action', 'Adventure', 'War', 'Comedy']
F	25	38.6	['Drama', 'Comedy', 'Documentary', 'War', 'Thriller']
M	35	39.96	['Drama', 'Comedy', 'War', 'Thriller', 'Animation']
M	1	20.86	['Drama', 'Comedy', 'Romance', 'Action', 'Documentary']
M	18	24.36	['Drama', 'Comedy', 'Action', 'Documentary', 'War']
M	35	46.78	['Drama', 'War', 'Thriller', 'Comedy', 'Romance']
M	50	27.88	['Drama', 'Comedy', 'Documentary', 'Sci-Fi', 'Thriller']
M	35	41.6	['Drama', 'Thriller', 'Comedy', 'Documentary', 'War']
F	45	30.94	['Drama', 'Comedy', 'War', 'Crime', 'Documentary']
F	45	31.44	['Drama', 'Comedy', 'War', 'Action', 'Thriller']
M	56	21.9	['Drama', 'Comedy', 'Crime', 'Documentary', 'Thriller']
M	25	33.3	['Drama', 'War', 'Action', 'Thriller', 'Crime']
M	45	36.62	['Drama', 'Comedy', 'Action', 'Thriller', 'Animation']
M	35	32.42	['Drama', 'Action', 'Thriller', 'Crime', 'Sci-Fi']
F	45	40.92	['Drama', 'Comedy', 'Film-Noir', 'Action', 'Crime']
F	25	28.12	['Comedy', 'Drama', 'Action', 'Crime', 'Animation']
M	35	27.52	['Drama', 'Action', 'Comedy', 'War', 'Adventure']
M	45	31.8	['Drama', 'Comedy', 'Romance', 'War', 'Animation']
M	35	31.58	['Drama', 'Action', 'War', 'Adventure', 'Comedy']
M	50	40.36	['Drama', 'Comedy', 'Crime', 'Thriller', 'War']
M	35	32.24	['Drama', 'Comedy', 'Romance', "Children's", 'War']
F	25	40.96	['Drama', 'Comedy', 'War', 'Film-Noir', 'Documentary']
F	25	38.98	['Drama', 'Romance', 'Comedy', 'War', 'Thriller']
M	18	46.66	['Drama', 'Comedy', 'War', 'Thriller', 'Mystery']
M	35	51.02	['Drama', 'War', 'Adventure', 'Action', 'Comedy']
M	25	39.3	['Drama', 'Comedy', 'War', 'Crime', 'Thriller']
M	50	43.96	['Drama', 'Comedy', 'Thriller', 'War', 'Crime']
M	25	27.86	['Drama', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']
M	18	34.96	['Drama', 'Comedy', 'Romance', 'Documentary', 'Animation']
F	18	20.62	['Drama', 'Comedy', 'Documentary', 'Animation', 'Sci-Fi']
M	25	22.72	['Drama', 'Comedy', 'Action', 'Romance', 'Thriller']
M	45	49.22	['Drama', 'Thriller', 'Comedy', 'War', 'Film-Noir']
M	18	47.1	['Drama', 'Comedy', 'War', 'Action', 'Crime']
M	25	27.06	['Action', 'Drama', 'Thriller', 'Comedy', 'Sci-Fi']
M	35	45.96	['Drama', 'War', 'Thriller', 'Crime', 'Comedy']
M	18	23.72	['Comedy', 'Drama', 'Romance', 'Action', 'Documentary']
M	18	20.66	['Comedy', 'Drama', 'Action', 'Thriller', 'Romance']
M	25	24.18	['Comedy', 'Drama', 'Action', 'Thriller', 'Romance']
F	25	53.26	['Drama', 'Adventure', 'War', 'Action', 'Comedy']
M	25	41.42	['Drama', 'Documentary', 'Crime', 'Thriller', 'Action']
M	35	46.08	['Drama', 'Comedy', 'Film-Noir', 'Thriller', 'Romance']
M	25	34.88	['Drama', 'Crime', 'Thriller', 'Documentary', 'War']
M	25	32.72	['Drama', 'Comedy', "Children's", 'Musical', 'Adventure']
F	1	35.62	['Drama', 'Romance', 'Comedy', 'Documentary', 'Musical']
M	18	37.72	['Drama', 'Comedy', 'Documentary', 'Sci-Fi', 'Mystery']
F	25	37.56	['Drama', 'Comedy', 'Documentary', 'Crime', 'Thriller']
F	25	28.52	['Drama', 'Comedy', 'Sci-Fi', 'Documentary', 'Thriller']
M	25	35.48	['Drama', 'Comedy', 'Sci-Fi', 'Documentary', 'Romance']
F	1	27.0	['Drama', 'Comedy', 'Romance', 'Action', 'Musical']
F	25	41.3	['Drama', 'Comedy', 'Thriller', 'Adventure', 'Horror']
M	35	46.32	['Drama', 'Comedy', 'Thriller', 'Adventure', 'Action']
M	18	43.84	['Drama', 'Comedy', 'Film-Noir', 'Thriller', 'Mystery']
M	1	33.56	['Drama', 'Comedy', 'Animation', 'War', 'Thriller']
M	18	31.14	['Action', 'Drama', 'Adventure', 'War', 'Comedy']
F	18	40.28	['Drama', 'Comedy', 'Animation', 'Thriller', 'Romance']
F	35	37.78	['Drama', 'Comedy', 'Romance', 'Animation', 'Thriller']
M	35	30.74	['Drama', 'Comedy', 'Action', 'War', 'Thriller']
F	25	36.54	['Drama', 'War', 'Comedy', 'Action', 'Thriller']
M	25	41.58	['Drama', 'Comedy', 'War', 'Mystery', 'Film-Noir']
F	45	35.34	['Comedy', 'Drama', 'Romance', 'Crime', 'Documentary']
M	35	39.44	['Drama', 'Action', 'Adventure', 'Comedy', 'War']
M	18	46.9	['Drama', 'Comedy', 'Adventure', 'Action', 'Animation']
F	25	21.38	['Drama', 'Comedy', 'Documentary', 'War', 'Romance']
M	35	45.1	['Drama', 'Thriller', 'Horror', 'Crime', 'Action']
