#gender,age,occupation,zip,imrovement
M,25,20,20009,1
M,18,17,12054,2
M,25,11,10549,3
M,56,17,23464-3016,1
F,45,1,01379,2
M,35,1,53703,5
M,35,6,20901,3
M,25,5,55057,3
M,18,1,15213,2
F,18,4,5849574,0
F,25,0,37211,0
M,35,12,76109,4
M,35,12,94538,2
M,35,17,01890,4
F,25,1,98027,4
M,25,6,53217,2
M,18,20,18104,3
M,25,12,53045,2
M,18,4,04901,5
M,18,18,65265,2
F,35,0,20037,2
F,18,4,92612,3
F,18,4,22310,3
M,18,4,94111,3
M,18,4,85701,2
M,35,1,55343,3
F,35,0,98622,2
F,25,1,54880,4
F,35,14,38018,3
M,45,1,08840,3
M,25,14,48336,3
M,35,7,07028,2
M,25,0,55317,2
F,35,0,55406,2
M,45,14,55076,3
F,25,0,50613,3
M,56,20,87107,3
M,25,17,19801,3
M,35,15,55117,4
M,25,11,55409,3
F,25,5,90262,0
F,25,0,07026,3
F,50,13,94702,2
M,1,10,58078,2
F,25,7,19806,1
M,50,2,87020,3
M,18,1,06279,2
M,25,17,32308,2
M,56,7,93711,3
M,45,20,98027,4
M,25,17,90804,4
M,18,7,10016,2
F,35,0,52405,4
F,25,1,22307,3
M,25,20,92101,3
F,25,9,41075,5
M,35,3,48827,4
F,25,9,98632,3
M,35,17,27587,3
M,56,1,49042,0
M,25,7,35244,3
M,50,7,40601,2
M,35,0,62704,2
F,25,9,46580,3
M,35,14,32068,2
M,25,2,55113,1
F,35,0,85024,2
F,25,4,66044,1
M,35,1,55110,3
M,50,15,55126,3
F,35,1,46815,4
F,18,4,02138,4
M,35,20,55407,3
M,18,10,55419,3
F,56,7,10019,2
M,25,0,60611,3
M,25,20,60615,2
M,18,4,02143,1
M,25,17,60611,4
F,18,4,24060,3
F,25,4,91740,2
M,25,2,92024,1
M,35,17,89015,1
F,35,20,66205,3
F,25,7,78757,4
M,25,6,68131,3
M,25,0,55408,3
F,35,7,55111,4
M,25,6,68128,4
F,56,13,03261,2
F,50,0,04259,3
M,35,0,53202,2
F,25,0,91107,4
M,50,15,02474,3
F,18,4,94121,1
M,56,20,91030,3
F,18,0,91107,2
M,25,17,61265,3
M,25,0,02131,1
M,25,14,98109,1
F,25,4,01002,3
M,50,7,30066,3
M,25,4,01002,3
M,25,4,19103,4
F,25,0,60640,2
M,35,7,02135,2
F,18,3,10017,4
M,35,6,54751,1
F,35,5,02021,4
M,25,0,21532,0
M,35,3,29425,0
M,25,11,55408,1
M,25,7,42518,1
F,18,1,86314,2
M,56,7,94612,2
M,25,7,92612,3
M,18,12,53188,1
F,25,15,27603,2
M,18,4,45231,4
F,25,0,27713,4
M,25,1,60615,2
M,25,17,45233,3
M,1,10,60148,2
M,25,12,45140,3
F,25,1,27515,0
M,25,12,94112,3
F,25,11,97370,1
M,35,16,11229,2
M,56,17,55105,3
M,45,16,55076,3
M,18,18,55113,2
M,35,0,85310,3
M,35,1,60016,4
M,50,7,23233,2
M,45,12,53718,3
F,25,7,10016,3
M,45,7,11201,0
M,18,4,07508,2
M,25,0,10006,2
M,35,7,10011,3
F,50,4,53562,2
F,50,1,33149,0
M,35,7,77079,2
M,45,17,45255,3
M,25,2,22903,3
M,18,14,25301,4
M,50,7,37938,2
F,45,9,01520,2
M,25,17,95035,3
F,35,14,45243,3
M,56,0,01606,1
F,25,14,94010,0
F,50,0,46970,3
M,25,7,55439,2
M,18,4,92802,3
F,25,11,10022,3
M,35,7,13021,1
M,18,4,85013,3
F,50,6,95014,3
M,45,1,48309,3
M,25,0,80906,0
M,18,6,21202,2
F,50,18,04849,1
M,35,6,84102,2
M,25,14,27605,3
M,25,2,30606,3
F,50,1,10706,3
M,25,7,29662,3
F,25,1,94939,3
F,50,1,62221,2
M,25,7,48070,1
M,25,5,46254,2
M,25,17,83713,2
M,25,5,10463,2
M,25,7,11793,2
F,45,2,14850,3
M,18,4,52241,5
M,45,12,37914,2
M,25,12,98033,1
F,35,9,53806,2
M,25,7,37930,2
M,25,7,15209,2
M,56,1,37922,2
F,18,4,02912,2
M,25,7,22903,2
M,45,12,80303,2
M,25,3,50311,3
M,35,11,48640,2
M,35,7,11050,3
M,35,17,55126,3
M,25,2,43202,3
F,1,0,27245,5
M,45,17,93401,2
M,25,2,60626,3
M,35,7,55124,2
F,50,2,22181,4
F,35,7,92316,3
M,45,1,44406,3
F,25,11,55409,2
M,25,0,77058,2
M,25,2,55344,1
M,35,17,68506,3
M,18,4,57103,3
F,25,4,77006,3
M,35,0,40504,3
M,45,1,16673,4
M,50,7,84093,3
F,18,4,11024,1
M,25,4,84111,3
M,50,7,10014,3
M,1,1,30707,1
F,35,9,56007,3
M,35,1,53706,2
M,56,2,08825,3
F,35,6,90035,1
M,1,8,02254,1
F,35,12,45249,2
M,18,20,76135,2
M,25,12,98074,2
M,35,12,20171,2
M,50,13,33710,1
M,50,2,33134,2
F,25,14,48067,2
M,1,10,02446,1
M,35,12,55082,3
M,25,16,55421,2
F,35,9,06830,2
M,25,11,75230,2
F,56,1,93105,3
M,25,14,05448,2
M,1,10,43357,3
M,25,12,83001,4
M,35,5,58703,2
F,25,0,13326,4
F,25,7,10562,0
F,18,0,28270,3
M,45,17,92111,2
F,25,14,80230,4
F,35,3,55405,2
M,45,0,92679,2
F,25,0,19143,3
M,25,0,47401,3
F,18,4,91604,4
M,18,4,10027,2
M,25,20,87103,3
M,25,4,74074,2
M,35,17,30145,2
F,25,4,78705,1
M,25,0,60660,3
M,50,12,98056,2
M,25,1,56082,1
M,35,1,95380,3
F,18,4,68516,3
M,35,14,11784,5
M,35,17,48083,4
M,25,1,20120-6354,4
M,45,7,64138,3
M,18,12,91423,3
M,56,19,91790-1161,3
M,50,18,72601,3
M,35,7,02766,2
M,35,1,50014,4
M,25,4,70115,4
M,25,17,99003,2
M,25,20,17022,2
M,25,0,45801,3
M,25,17,75044,4
F,25,0,94110,3
M,18,4,07030,4
M,56,2,90680,3
F,25,7,55122,5
F,25,14,55418,4
M,50,11,25302,4
M,35,0,30741,3
M,25,1,92101,3
M,25,11,20008,0
M,18,0,48314,2
F,35,1,98026,3
M,25,12,90278,3
M,45,7,30253,4
F,25,0,44107,3
F,25,20,75226,3
M,35,15,33167,2
M,50,17,78666,4
F,25,17,20120,2
M,50,7,94709,1
M,45,1,92407,4
M,18,4,191004,2
M,35,1,91768,4
F,25,17,01701,2
M,18,4,16101,3
F,1,10,76501,3
F,50,16,98257,2
F,25,1,45241,3
F,25,15,64116,3
M,35,18,90804,4
F,18,0,20008,2
F,35,12,17013,2
F,18,4,10039,1
M,18,4,48073,1
M,35,8,10014,2
M,18,6,60611,2
M,56,13,14843,3
M,18,19,12133,3
F,1,10,10562,0
M,25,15,97333,4
M,25,0,47303,2
F,35,16,45238,4
M,35,12,45243,1
M,35,6,95370,4
M,25,15,55902,3
M,25,12,27514,3
M,25,7,94301,2
F,18,14,22206,3
M,50,1,48105,2
M,18,19,30350,4
M,25,2,55103,3
F,25,4,19119,2
F,25,2,97333,0
M,50,16,12866,3
M,25,17,35205,3
M,18,4,48135,4
F,18,2,95008,2
M,18,4,78749,2
M,18,4,11209,2
F,25,14,21046,4
F,45,0,12833-2000,3
M,50,7,02461,3
M,18,18,92123,2
M,18,4,02906,4
M,35,7,64055,2
F,1,10,79605,2
M,25,17,95014,3
M,25,20,01267,4
M,25,17,95136,3
M,25,14,90292,3
F,25,7,27516,4
M,18,0,54901,2
F,18,4,55455,1
F,50,6,79410,3
M,18,17,10804,2
M,35,7,55901,3
F,25,12,94530,2
M,25,2,07026,2
F,25,3,94117,2
M,18,4,06430,3
M,45,3,90006,3
M,35,15,20723,2
M,35,16,99352,2
M,35,17,78749,2
M,35,7,80910,3
M,25,15,98103,4
F,25,3,90020,1
M,35,3,20122,2
M,25,15,98102,2
M,25,17,53406,3
M,45,17,32837,2
M,25,12,36115,2
M,35,2,20818,3
F,45,1,26505,3
F,35,0,17870,3
F,25,2,43617,3
M,18,18,90605,1
M,1,10,75633,2
M,56,6,33030,4
M,35,14,98125,4
M,25,17,98661,3
M,25,0,98178,2
M,18,18,56002,3
F,45,17,55419,3
M,25,0,92155,4
M,45,16,60302,4
M,25,0,22306,2
M,56,13,63122,2
M,25,3,94118,1
M,35,7,15203,2
F,25,3,38134,2
M,18,4,26201,1
M,50,1,19087-3622,3
F,18,4,06268,1
M,50,15,12740,3
F,35,15,43065,1
M,35,14,85331,3
M,25,17,95926,3
F,50,1,28043,2
F,50,1,98499,2
F,25,4,91428,4
M,25,0,17821,4
M,18,12,55057,3
M,25,2,97205,5
M,25,0,45245,4
M,25,12,27713-9225,3
M,45,16,60126,4
M,18,10,04576,3
M,25,15,55455,2
F,1,10,90291,3
M,25,0,27403,2
M,1,10,60148,4
F,18,4,14850,1
M,35,7,10021,2
M,25,1,55116,3
F,25,0,94063,1
M,25,12,22903,4
F,25,0,60622,3
M,18,4,80521,2
M,45,6,01950,3
F,35,0,78253,1
M,1,10,44906,3
F,25,20,60612,4
F,25,0,93940,0
F,25,1,46807,4
M,25,6,60060,2
F,25,20,85013,1
M,35,7,98144,4
M,1,10,51537,2
M,18,4,48104,4
M,25,4,22903,4
M,56,7,28754,0
F,25,4,22903,1
M,25,4,22902,2
M,25,7,22902,4
M,25,4,22903,2
M,25,4,22901,2
M,25,2,94117,2
F,25,1,77707,1
M,25,1,16508,1
M,56,0,61704,2
M,45,7,92503,2
M,35,7,62234,3
M,18,4,53142,2
F,18,1,48067,3
M,18,3,48604,1
M,18,12,10549,2
F,35,3,77429,2
M,25,4,94107,3
M,45,7,35216,4
M,25,7,98115,2
M,35,17,19360,1
M,56,13,49423,0
M,25,15,37923,1
M,25,11,60603,1
M,45,11,02155,1
M,35,7,30071,3
F,45,2,27514,4
F,25,9,28147,4
M,45,14,19382,2
M,35,0,20795,2
M,25,2,90210,2
M,18,2,63138,4
F,18,4,63146,3
M,18,4,55410,4
M,25,16,55426,0
M,50,7,17402,2
M,35,12,27614,3
M,25,12,60613,3
F,35,7,30350,2
M,45,6,23452,2
M,25,16,60614,3
F,35,6,23507,3
F,18,6,92145,2
F,18,2,55408,2
F,45,6,60031,3
M,45,12,44312,2
M,18,17,20742,3
M,18,4,22032,3
M,18,4,22401,2
M,25,7,22314,2
F,25,0,94115,3
F,25,0,94703,3
F,25,6,54729,1
F,25,20,93401,1
F,18,0,94587,3
F,25,0,94110,3
M,35,7,94550,4
M,1,10,90210,2
M,45,17,56001,3
M,50,20,55419,4
M,45,17,54022,1
F,25,4,55407,2
F,18,4,48433,3
F,56,13,92407,2
M,25,20,55455,5
M,56,1,04032,1
M,45,1,97405,2
M,18,4,06459,1
M,25,4,55455,2
F,35,16,95828,4
F,25,16,94706,2
M,35,5,04901,3
M,18,4,91501,1
M,25,12,95158,3
M,35,17,94550,2
M,25,14,94110,3
M,25,7,94041,3
F,18,4,93107,3
M,25,14,94105,4
M,56,13,94134,4
F,25,7,08902,2
M,18,1,95814,2
M,25,20,48309,3
M,18,20,44089,2
M,18,20,94608,2
M,1,1,444555,3
M,25,12,98037,2
F,18,4,64151,4
M,25,0,10469,0
M,35,11,22030,1
M,50,7,90505,3
M,18,4,06511,3
M,25,12,98102,3
M,18,4,85259,3
M,25,17,38104,2
M,18,0,77341,2
M,25,17,94108,1
M,50,5,80220,2
M,18,4,02139,3
M,1,10,19343,3
M,25,17,44118,2
M,18,4,55455,3
M,35,2,89012,0
M,25,20,98119,3
F,25,4,97233,2
M,18,10,97303,3
M,18,15,77047,2
M,25,4,98926,4
F,18,4,85033,4
M,50,1,95070,3
M,25,0,64106,4
M,25,0,73147,2
F,25,1,98144,3
F,1,10,17036,2
M,18,0,37211,1
M,25,17,55112,4
M,50,16,11963,3
M,35,12,55104,2
F,25,7,07090,3
M,18,4,55455,3
F,35,9,44406,2
M,18,4,29649,4
M,25,1,72701,3
M,35,17,22309,2
F,45,7,80304,3
M,18,4,95616,2
M,56,7,78701,3
M,56,14,02632,2
M,50,0,91789,1
M,56,16,13031,1
M,25,0,11788,3
M,35,5,70123,2
F,18,4,63332,4
F,18,4,02138,2
M,35,12,55122,2
M,35,12,97330,3
F,45,16,14424,1
M,18,4,92037,3
M,18,4,97850,4
M,25,0,60611,2
M,45,6,52556,4
M,45,7,91766,2
M,18,4,15213,2
M,25,4,24060,3
M,18,4,97333,3
M,25,4,48105,4
M,18,0,91320,4
M,45,17,94806,2
F,35,20,55104,4
M,35,1,60640,3
M,25,12,55124,2
F,45,1,12449,1
F,45,17,03054,3
M,35,3,11220,4
M,56,16,60044,3
M,35,0,30906,2
M,25,0,10310,3
M,18,4,04901,3
M,56,13,02576,3
M,18,4,91006,0
F,25,7,94043,4
M,18,4,32720,3
M,25,11,95125,3
M,25,12,60515,1
F,18,4,43235,3
F,45,20,94519,2
F,45,1,18042,2
M,18,4,60637,4
F,35,20,11215,4
F,25,20,50111,4
M,45,17,89108,3
F,45,15,55446,4
M,18,4,48109,3
M,25,1,02146,4
F,25,4,43212,3
F,35,1,55417,4
M,35,0,12831,2
M,25,20,78746,4
M,25,1,13210,3
M,35,14,78611,1
M,50,14,08028,2
M,18,4,32601,0
M,18,2,29118,2
M,18,4,11010,2
M,25,7,11215,1
M,35,2,90292,3
M,25,7,11228,3
M,18,11,53705,4
M,35,14,55129,2
M,18,4,43023,1
M,35,17,55030,2
F,45,3,98155,3
M,25,7,55125,2
M,45,16,55306,2
M,35,12,95952,2
F,18,10,55306,1
M,18,10,55303,3
F,25,6,15202,3
M,35,14,84057,1
M,35,6,20650,3
F,35,1,89031,3
M,25,6,06511,3
F,35,19,32095,2
M,18,1,45458,3
F,35,9,19006,2
M,25,12,94043,3
F,50,13,03851,3
M,50,17,49506,3
M,35,20,55108,4
M,35,1,90034,2
M,18,4,90024,4
F,18,4,90024,1
F,18,4,90024,3
M,18,17,08550,5
M,25,12,01060,3
F,18,14,55426,3
M,25,7,55311,2
M,18,0,90034,2
M,18,4,53213,4
M,25,1,08854-3115,2
M,25,12,94086,3
F,25,3,46227,3
M,25,2,46142,2
M,18,15,95616,4
M,45,0,97520,3
F,25,4,04101,4
M,35,1,81005,2
M,25,0,46227,4
M,45,3,04011,2
F,35,3,20110,2
M,56,16,79705,1
M,35,7,19901,2
F,18,11,29063,3
F,50,16,08033,3
F,35,20,94949,2
M,25,4,92821,2
M,50,6,70808,1
F,45,12,92037,2
M,25,7,55411,3
M,18,4,60202,3
F,25,7,92120,2
M,25,7,94117,3
M,25,0,91403,2
M,25,20,90048,2
M,25,17,33028,4
M,25,14,28715,2
M,18,4,43215,3
M,25,15,90066,3
M,25,7,55408,4
M,25,0,03766,3
F,50,7,90291,4
M,18,19,94618,5
M,35,7,39652,4
M,25,0,98153,3
M,25,5,55126,3
M,25,6,46835,1
M,45,1,43210,2
M,25,3,55455,3
M,56,17,22657,2
F,45,20,37919-4204,2
M,25,17,01060,3
M,25,12,60025,1
M,45,0,61821,3
F,25,7,27514,3
M,25,12,60025,4
M,25,5,96815,2
F,45,1,13088,4
M,25,2,60123,1
M,1,10,03756,1
F,1,10,48067,3
F,25,0,90035-4444,1
F,25,1,05401,1
M,25,6,15146,5
M,56,3,94561,1
F,35,0,33607,3
F,35,20,10954,0
M,18,4,91360,2
M,25,17,29401,2
F,35,15,06119,4
M,25,7,10011,3
F,35,1,55107,3
M,35,13,62035,2
M,35,14,90266,4
M,56,0,78232,4
M,50,17,57747,4
M,25,1,29205,2
M,50,7,39648,4
F,25,0,65775,5
M,18,4,61820,3
M,50,16,29464,4
M,25,17,94118,2
F,25,2,98133,4
M,56,1,85374,2
M,50,0,01379,2
M,35,0,98122,2
M,25,6,77030,3
M,25,7,38261,2
M,25,20,15701,2
F,35,5,55306,3
M,50,7,60618,2
M,25,14,08742,3
M,18,4,64920,2
M,25,11,37931,1
M,18,17,49445,2
M,25,0,37923-3112,2
M,18,4,23186,2
M,18,0,06360,3
F,25,5,92705,3
M,56,13,37923,1
F,56,13,37917,3
F,25,3,49423,3
F,45,7,52003,2
M,56,13,37830,3
M,35,11,37620,3
F,50,6,37922,2
F,56,2,03431,4
F,18,19,33953,2
F,25,4,01075,3
M,25,4,96826,3
M,18,4,96815,3
F,50,4,96822,3
F,25,4,96817,2
M,25,12,98100,2
F,25,5,91773,3
F,35,7,91362,3
M,45,7,19067,3
M,35,0,08902,2
M,25,17,14830,1
M,45,17,97330,3
M,25,2,55344,2
M,25,7,18655,3
M,25,3,19147,0
M,25,2,20037,2
M,1,0,20132,3
M,50,6,97470,3
M,25,7,33308,4
M,18,17,07030,2
M,18,4,12180,2
M,25,0,10016,1
M,25,2,08817,2
M,35,5,10990,2
M,25,19,11501,3
F,18,4,91405,1
M,35,7,10011,2
M,18,4,07940,2
